Airline,Cancelled,CRSDepTime,CRSElapsedTime,Distance,Quarter,Month,DayofMonth,DayOfWeek,OriginAirportID,OriginStateName,OriginWac,DestAirportID,DestStateName,DestWac,CRSArrTime,DistanceGroup
1,False,500,213.0,1448.0,3,7,1,5,10299,1,1,14747,48,93,933,6
18,False,725,110.0,516.0,2,4,21,4,10821,18,35,12339,12,42,915,3
20,False,1404,84.0,296.0,2,6,29,3,11066,33,44,13930,11,41,1428,2
7,False,1107,217.0,1426.0,3,7,8,5,13487,21,63,14057,35,92,1244,6
12,False,1355,340.0,2615.0,2,5,30,1,12982,9,2,12892,4,91,2235,11
12,False,905,54.0,216.0,1,2,25,5,12402,9,2,12173,9,2,959,1
7,False,1100,92.0,444.0,3,7,7,4,10397,8,34,14986,7,33,1232,2
7,False,1927,89.0,425.0,2,5,26,4,13495,16,72,10397,8,34,2156,2
7,False,1545,384.0,2422.0,2,4,19,2,12478,30,22,14747,48,93,1909,10
3,False,1000,118.0,621.0,2,5,18,3,14107,2,81,14831,4,91,1158,3
13,False,1750,102.0,479.0,2,4,2,6,14893,4,91,14057,35,92,1932,2
1,False,705,60.0,253.0,2,6,17,5,10299,1,1,10170,1,1,805,2
3,False,2055,234.0,1514.0,2,4,6,3,13930,11,41,12889,26,85,2249,7
3,False,1804,145.0,740.0,3,7,18,1,13930,11,41,12478,30,22,2129,3
9,False,1049,165.0,1162.0,2,4,5,2,10423,42,74,14492,31,36,1434,5
10,False,5,247.0,1916.0,1,1,28,5,12889,26,85,11057,31,36,712,8
17,False,1215,189.0,1330.0,1,2,3,4,12892,4,91,13871,25,65,1724,6
3,False,2003,162.0,761.0,1,1,17,1,12339,12,42,11298,42,74,2145,4
20,False,919,125.0,758.0,2,5,31,2,13204,7,33,12264,47,38,1124,4
7,False,1012,106.0,630.0,1,3,7,1,14057,35,92,14869,45,87,1258,3
17,False,1731,121.0,637.0,2,5,5,4,11292,5,82,14783,23,64,2032,3
3,False,1832,84.0,431.0,1,2,5,6,11298,42,74,13244,41,54,1956,2
12,False,2045,320.0,2398.0,3,7,12,2,12173,9,2,14771,4,91,505,10
16,False,610,128.0,547.0,2,4,25,1,11278,47,38,10397,8,34,818,3
2,False,1532,126.0,843.0,2,5,20,5,12191,42,74,10431,31,36,1838,4
20,False,2235,345.0,2288.0,2,4,7,4,12264,47,38,12892,4,91,120,10
20,False,1447,228.0,1452.0,3,7,13,3,12264,47,38,11292,5,82,1635,6
20,False,1750,251.0,1606.0,1,1,19,3,15024,44,4,12264,47,38,2101,7
18,False,1445,85.0,486.0,2,5,20,5,12889,26,85,10140,29,86,1710,2
3,False,2350,275.0,2125.0,1,3,22,2,12892,4,91,11057,31,36,725,9
18,False,2125,130.0,763.0,3,7,2,6,14057,35,92,12889,26,85,2335,4
17,False,1117,171.0,956.0,1,3,18,5,13891,4,91,14747,48,93,1408,4
16,False,1017,144.0,900.0,3,7,24,7,13930,11,41,14321,17,12,1341,4
3,False,1616,83.0,236.0,2,5,27,5,12889,26,85,12892,4,91,1739,1
3,False,1330,158.0,678.0,1,1,30,7,14100,36,23,13930,11,41,1508,3
10,False,1721,179.0,971.0,1,3,25,5,12391,30,22,13204,7,33,2020,4
17,False,525,62.0,223.0,3,7,12,2,11637,32,66,13487,21,63,627,1
3,False,1523,131.0,759.0,1,1,19,3,13204,7,33,11278,47,38,1734,4
7,False,730,285.0,1698.0,1,3,13,7,10721,19,13,10423,42,74,1115,7
18,False,915,150.0,895.0,3,7,25,1,13232,11,41,11292,5,82,1045,4
18,False,1715,105.0,577.0,1,1,15,6,10397,8,34,10821,18,35,1900,3
16,False,2239,148.0,806.0,1,1,1,6,13303,7,33,10693,41,54,7,4
18,False,1725,170.0,1359.0,1,1,23,7,11292,5,82,10792,30,22,2215,6
7,False,1149,122.0,707.0,2,5,26,4,13485,50,45,10397,8,34,1451,3
7,False,640,63.0,134.0,2,5,23,1,10599,0,51,10397,8,34,843,1
20,False,1427,185.0,1014.0,1,3,5,6,10693,41,54,11292,5,82,1632,5
5,False,1037,82.0,408.0,1,1,27,4,10868,39,37,11278,47,38,1159,2
18,False,1835,135.0,882.0,3,7,13,3,15016,23,64,13204,7,33,2150,4
18,False,1050,85.0,404.0,3,7,27,3,14908,4,91,14893,4,91,1215,2
5,True,2200,110.0,590.0,2,5,21,6,11278,47,38,10581,17,12,2350,3
1,False,1600,335.0,2603.0,3,7,30,6,12173,9,2,14057,35,92,35,11
14,False,1859,410.0,2586.0,3,7,5,2,12478,30,22,14771,4,91,2249,11
14,True,937,142.0,765.0,3,7,23,6,10693,41,54,12478,30,22,1259,4
14,True,1145,211.0,1249.0,2,6,27,1,10721,19,13,14635,7,33,1516,5
17,False,750,183.0,1034.0,2,5,24,2,13487,21,63,12266,42,74,1053,5
3,False,1428,58.0,175.0,1,2,15,2,11298,42,74,13851,34,73,1526,1
17,False,1334,100.0,393.0,1,1,14,5,13487,21,63,13198,23,64,1514,2
3,False,1121,159.0,1069.0,1,2,5,6,11697,7,33,12478,30,22,1400,5
8,False,710,102.0,416.0,1,3,21,1,14492,31,36,11618,28,21,852,2
5,False,1820,109.0,515.0,1,3,19,6,14100,36,23,11996,39,37,2009,3
5,True,1834,115.0,653.0,1,1,5,3,10599,0,51,11278,47,38,2129,3
17,False,1005,95.0,451.0,3,7,22,5,12892,4,91,15376,2,81,1140,2
16,False,1344,105.0,431.0,1,2,18,5,14492,31,36,12953,30,22,1529,2
20,False,1910,93.0,212.0,3,7,11,1,11618,28,21,12264,47,38,2043,1
18,False,1350,120.0,628.0,2,4,13,3,10140,29,86,14679,4,91,1450,3
18,False,1230,105.0,546.0,1,1,16,7,15016,23,64,11259,42,74,1415,3
5,False,1820,64.0,118.0,1,3,15,2,11057,31,36,11641,31,36,1924,1
0,False,1945,120.0,536.0,2,6,19,7,13930,11,41,10431,31,36,2245,3
14,False,1750,184.0,1028.0,1,2,9,3,12478,30,22,14027,7,33,2054,5
2,False,817,185.0,1336.0,2,6,19,7,14679,4,91,11775,40,67,1322,6
20,False,840,321.0,2442.0,3,7,18,1,14771,4,91,11278,47,38,1701,10
7,False,1405,110.0,680.0,1,3,29,2,11292,5,82,13487,21,63,1655,3
18,False,1925,95.0,543.0,3,7,7,4,13796,4,91,14057,35,92,2100,3
18,False,1045,175.0,1246.0,1,2,22,2,12892,4,91,11259,42,74,1540,5
13,False,1310,96.0,489.0,1,2,18,5,14057,35,92,15023,4,91,1446,2
10,False,1220,86.0,486.0,2,5,26,4,12889,26,85,10140,29,86,1446,2
15,True,1444,230.0,1416.0,2,6,22,3,12266,42,74,12953,30,22,1934,6
3,False,1744,209.0,1389.0,2,6,4,6,11298,42,74,12953,30,22,2213,6
14,False,2129,200.0,1074.0,1,2,28,1,12478,30,22,14635,7,33,49,5
18,False,905,90.0,418.0,1,2,23,3,13796,4,91,14262,4,91,1035,2
3,False,1634,85.0,280.0,1,2,20,7,15919,3,71,11298,42,74,1759,2
12,False,705,38.0,100.0,2,5,6,5,13830,9,2,12173,9,2,743,1
20,True,615,166.0,1092.0,1,2,2,3,13198,23,64,11618,28,21,1001,5
7,False,525,86.0,453.0,2,6,4,6,12992,3,71,10397,8,34,751,2
18,False,1900,80.0,405.0,3,7,28,4,13232,11,41,13198,23,64,2020,2
17,False,1335,63.0,174.0,2,4,3,7,12129,21,63,13487,21,63,1438,1
7,False,1742,107.0,532.0,1,3,29,2,14869,45,87,14893,4,91,1829,3
9,False,2047,56.0,109.0,2,6,24,5,13930,11,41,13485,50,45,2143,1
3,False,927,228.0,1587.0,3,7,3,7,14107,2,81,10397,8,34,1615,7
