crash_date,traffic_control_device,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,crash_type,intersection_related_i,damage,prim_contributory_cause,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,crash_hour,crash_day_of_week,crash_month
47983,16,2,3,17,6,3,0,1,1,1,2,36,2,2,0.0,0.0,0.0,0.0,0.0,2.0,16,7,4
80486,16,2,3,17,10,3,0,1,1,1,2,36,2,2,0.0,0.0,0.0,0.0,0.0,2.0,17,1,6
169680,4,2,1,17,2,3,0,1,1,0,2,22,2,2,0.0,0.0,0.0,0.0,0.0,2.0,2,2,11
116641,4,2,1,17,2,3,0,1,1,1,2,24,2,2,0.0,0.0,0.0,0.0,0.0,3.0,20,7,8
48220,15,10,3,0,2,3,4,1,1,1,1,16,2,2,0.0,0.0,0.0,0.0,0.0,4.0,11,1,4
65345,16,3,3,0,6,3,6,1,0,1,2,38,2,2,0.0,0.0,0.0,0.0,0.0,2.0,10,4,5
122970,16,2,1,0,6,3,0,6,0,1,2,6,2,3,1.0,0.0,0.0,1.0,0.0,2.0,1,7,9
40333,15,2,3,7,10,3,0,1,1,1,1,23,2,2,0.0,0.0,0.0,0.0,0.0,2.0,12,6,3
188738,15,2,3,10,8,3,0,1,1,1,1,19,2,2,0.0,0.0,0.0,0.0,0.0,2.0,15,3,12
151710,4,2,4,0,2,3,0,1,1,1,2,18,4,2,0.0,0.0,0.0,0.0,0.0,5.0,17,6,10
9868,16,2,1,17,2,3,0,1,1,1,2,24,2,2,0.0,0.0,0.0,0.0,0.0,3.0,19,5,1
55114,15,2,3,17,2,3,0,1,1,1,2,5,2,2,0.0,0.0,0.0,0.0,0.0,3.0,11,1,4
1242,15,5,3,2,10,4,6,1,0,1,2,12,1,2,0.0,0.0,0.0,0.0,0.0,1.0,9,1,1
153522,4,2,3,10,8,3,0,1,1,1,1,19,2,2,0.0,0.0,0.0,0.0,0.0,2.0,15,2,10
18314,16,2,3,10,8,3,0,1,1,1,2,19,2,2,0.0,0.0,0.0,0.0,0.0,3.0,16,5,2
49050,16,2,5,10,8,3,5,5,1,1,2,19,2,2,0.0,0.0,0.0,0.0,0.0,4.0,16,2,4
64995,15,2,3,0,6,3,0,1,1,1,2,36,2,2,0.0,0.0,0.0,0.0,0.0,5.0,14,7,5
122550,16,2,1,0,8,4,0,5,0,1,2,3,2,2,0.0,0.0,0.0,0.0,0.0,3.0,1,1,9
82828,16,2,3,17,15,3,0,1,0,1,2,17,3,2,0.0,0.0,0.0,0.0,0.0,4.0,15,1,6
116762,15,2,3,10,10,3,0,1,0,0,2,19,2,4,1.0,0.0,0.0,0.0,1.0,1.0,15,7,8
137358,16,2,3,10,8,3,0,1,1,1,0,19,2,2,0.0,0.0,0.0,0.0,0.0,2.0,14,6,9
80745,15,2,3,8,6,3,0,1,0,1,2,18,2,3,1.0,0.0,0.0,1.0,0.0,1.0,19,6,6
176905,15,11,1,10,15,3,6,5,0,1,2,17,2,2,0.0,0.0,0.0,0.0,0.0,2.0,18,6,12
154081,10,2,3,7,2,3,6,1,1,1,2,12,2,2,0.0,0.0,0.0,0.0,0.0,2.0,11,3,10
176817,16,2,1,10,6,3,0,1,0,1,2,17,2,3,1.0,0.0,0.0,1.0,0.0,2.0,16,5,12
175825,15,2,3,8,10,3,0,1,0,1,0,36,2,4,1.0,0.0,0.0,0.0,1.0,1.0,16,5,12
